text,clean_text
"Tempus is on IWG and Abcam
https://t.co/CynbFiO3mg","['tempus', 'iwg', 'abcam', 'httpstcocynbfio3mg']"
RT @smallcappick: The Times (Tempus share tips): HOLD #IWG; AVOID #Abcam. #ABC https://t.co/XXDVPkmmGz,"['rt', 'smallcappick', 'times', 'tempus', 'share', 'tips', 'hold', 'iwg', 'avoid', 'abcam', 'abc', 'httpstcoxxdvpkmmgz']"
"A huge thanks again to our sponsors and to our attendees for visiting their booths. 

The #AsuEpi21 Gather Lottery… https://t.co/su21UvGk0I","['huge', 'thanks', 'sponsors', 'attendees', 'visiting', 'booths', 'asuepi21', 'gather', 'lottery', 'httpstcosu21uvgk0i']"
The Times (Tempus share tips): HOLD #IWG; AVOID #Abcam. #ABC https://t.co/XXDVPkmmGz,"['times', 'tempus', 'share', 'tips', 'hold', 'iwg', 'avoid', 'abcam', 'abc', 'httpstcoxxdvpkmmgz']"
InstantBlue® is a ready to use Coomassie protein stain for polyacrylamide gels. Add a free sample to your order thi… https://t.co/0xLFv0DwzQ,"['instantblue', 'ready', 'use', 'coomassie', 'protein', 'stain', 'polyacrylamide', 'gels', 'add', 'free', 'sample', 'order', 'thi', 'httpstco0xlfv0dwzq']"
"RT @AbcamAnz: Dive deep into the complex interactions between Polycomb and Trithorax group proteins, including EZH2 and SMARCA4, and unders…","['rt', 'abcamanz', 'dive', 'deep', 'complex', 'interactions', 'polycomb', 'trithorax', 'group', 'proteins', 'including', 'ezh2', 'smarca4', 'unders', '']"
"RT @AEpiA: Lots of scientists all over Australia are enjoying actual #AusEpi21 conference dinner with real people and real food!
Thanks to…","['rt', 'aepia', 'lots', 'scientists', 'australia', 'enjoying', 'actual', 'ausepi21', 'conference', 'dinner', 'real', 'people', 'real', 'food', 'thanks', '']"
"Dive deep into the complex interactions between Polycomb and Trithorax group proteins, including EZH2 and SMARCA4,… https://t.co/IzN3THxgde","['dive', 'deep', 'complex', 'interactions', 'polycomb', 'trithorax', 'group', 'proteins', 'including', 'ezh2', 'smarca4', 'httpstcoizn3thxgde']"
"RT @abcam: Thank you Mari Mino-Kenudson, @GCPrendergast, @BizarMd and Rüdiger Greinert for the stimulating talks today. Don’t miss our last…","['rt', 'abcam', 'thank', 'mari', 'minokenudson', 'gcprendergast', 'bizarmd', 'rüdiger', 'greinert', 'stimulating', 'talks', 'today', 'miss', 'last', '']"
Research Associate-CLG - Hangzhou - Abcam #jobs #pharma #hiringnow #pharmiweb https://t.co/XPIw4ssBoM,"['research', 'associateclg', 'hangzhou', 'abcam', 'jobs', 'pharma', 'hiringnow', 'pharmiweb', 'httpstcoxpiw4ssbom']"
